"Note: To obtain data definitions for variables that are included in this file, please select the following "
"         from within the FDIC's Statistics on Depository Institutions (SDI): "

"1. SDI Map, Definitions, and Data Download (top menu bar) "
"2. SDI Map, Definitions (radio button) "
"3. View or print any and all data definitions contained within SDI"


"CERT","DOCKET","RSSDHCR","FED_RSSD","HCTMULT","NAME","CITY","STALP","REPDTE","BKCLASS","INSTCNT","ASSET","FREPO","FREPP","IDOBRMTG","SUBND","EQPP","EQCS","EQSUR","EQUPTOT","SCHA","SCAF","LNLSGR","NTRSMMDA","NTRSOTH","TRN","NTRCDSM","NTRTMLG","UCLOC","UCCOMRES","UCCOMREU","UCSC","UCOTHER","LOCCOM","P9ASSET","NAASSET","NETINC"
"14","14278","1111435","35301","1","State Street Bank and Trust Company","Boston","MA","3/31/2011","SM","1","166641663","2253120","11744948","4184778","1563279","0","29931","10132303","7390040","12252760","90215574","12816796","1543273","0","22287655","0","2192314","0","0","0","0","20546317","0","0","92607","433501"
"110","9592","1097089","107244","0","Bank of the Ozarks","Little Rock","AR","3/31/2011","NM","1","3315244","0","39353","282379","0","0","58","176182","202008","0","371247","2343505","654304","790067","256997","471737","414471","20736","134919","0","0","54346","0","328","106158","15121"
"131","0","3962640","34537","0","Seacoast National Bank","Stuart","FL","3/31/2011","N","1","2079655","0","118702","50000","0","0","56793","281364","-139391","25835","514150","1228478","901936","120819","148197","279848","253353","41874","10490","0","0","93533","0","0","66233","771"
"172","10091","1082777","37435","0","United Bank","Zebulon","GA","3/31/2011","NM","1","1077136","0","24027","0","0","0","1028","40000","59681","2000","239640","578293","309282","48398","128149","252938","211482","34269","12575","0","0","8727","0","0","40614","3194"
"258","9364","1249730","317342","0","Stock Yards Bank & Trust Company","Louisville","KY","3/31/2011","NM","1","1911144","953","82170","96620","10000","0","4120","19125","140114","16","258128","1520117","992485","71596","68869","261851","150466","82725","55246","0","0","177862","1555","3947","10747","6104"
"588","11394","1037003","501105","1","Manufacturers and Traders Trust Company","Buffalo","NY","3/31/2011","SM","1","66985645","182600","2041196","2484631","1806324","0","120635","5530896","3328324","1262089","4783101","51424048","33524672","4193771","6815529","3951448","1136704","5550487","1795937","0","0","8132114","58839","264480","1220799","220280"
"609","10202","2367921","433608","1","Tompkins Trust Company","Ithaca","NY","3/31/2011","NM","1","1507615","17400","169905","70100","0","0","5400","40265","65851","34442","568603","781590","775110","2398","92190","163848","88264","42610","17999","0","0","51213","0","4","19014","5290"
"622","9297","3281798","661308","0","Amalgamated Bank","New York","NY","3/31/2011","NM","1","4471772","0","455145","749939","0","14000","7207","102582","105608","6253","400040","2297224","1145372","294633","430462","514335","561482","6080","144763","0","0","267115","0","0","125368","-3687"
"623","0","1242423","214807","1","Deutsche Bank Trust Company Americas","New York","NY","3/31/2011","SM","1","44888000","175000","7513000","260000","0","1500000","2127000","586000","5145000","0","1946000","13710000","10462000","118000","4169000","0","183000","0","194000","404000","0","8419000","7000","12000","337000","118000"
"628","0","1039502","852218","1","JPMorgan Chase Bank, National Association","Columbus","OH","3/31/2011","N","1","1723460000","231453000","197175000","86369000","28943000","0","1785000","76776000","45018000","16000","324259000","559381000","493071000","21199000","115312000","29007000","43490000","44285000","2220000","3832000","0","255767000","7011000","17500000","22542000","2701000"
"639","0","3587146","541101","1","The Bank of New York Mellon","New York","NY","3/31/2011","SM","1","200249000","992000","3005000","2571000","3490000","0","1135000","8631000","6391000","3553000","58636000","24856000","9547000","76000","31386000","1000","29578000","0","125000","0","0","27873000","475000","24000","312000","352000"
"659","14115","1032464","601416","0","Five Star Bank","Warsaw","NY","3/31/2011","SM","1","2288578","0","52060","0","0","0","400","129274","74044","25284","692812","1354185","845210","213917","218065","521252","201433","98951","54524","0","0","208753","0","3","7881","6300"
"680","11652","1888193","272218","1","Wilmington Trust Company","Wilmington","DE","3/31/2011","SM","1","8999551","0","74988","150775","0","0","5","580835","-3194","102240","341686","6173361","3390672","301807","926311","2393927","191046","238723","410470","0","0","903626","1150","28996","941140","-36776"
"713","10038","1248153","342410","0","Orrstown Bank","Shippensburg","PA","3/31/2011","SM","1","1495201","21500","86750","45068","0","0","564","62636","81600","0","378915","988774","465697","70558","70437","301654","299751","72426","38473","0","0","92203","0","3686","13106","3791"
"803","0","1070448","645625","0","Wesbanco Bank, Inc.","Wheeling","WV","3/31/2011","NM","1","5348264","0","178983","237345","0","0","7820","295240","381959","531284","930709","3250855","1863978","470976","233516","897719","746738","206356","106103","0","0","385089","0","5171","59571","10896"
"867","0","1131787","675332","1","SunTrust Bank","Atlanta","GA","3/31/2011","SM","1","164793590","225001","2530355","7210645","2604576","0","21600","13249589","6423839","0","23882925","116866439","82245273","4518297","15332796","14694295","7256347","13436480","1089305","462794","0","42835382","58468","1657654","4017639","94718"
"873","14036","1078846","395238","1","Synovus Bank","Columbus","GA","3/31/2011","NM","1","28188730","99674","424957","1433898","0","0","68912","3901944","-1079811","0","3310539","20984036","12515773","513663","2326119","4734980","3059331","898337","452743","53939","0","2260713","4867","10489","839357","-57366"
"878","0","3244113","701736","0","The Brand Banking Company","Lawrenceville","GA","3/31/2011","SM","1","1184878","0","28800","65000","0","0","400","29950","26524","0","185963","834883","163591","115690","77512","484441","183646","15792","11137","0","0","21229","0","0","135665","-91"
"895","10867","1133277","488439","0","GreenBank","Greeneville","TN","3/31/2011","NM","1","2390195","7931","18711","158587","0","0","1290","343566","-125259","115","226732","1681209","952181","106408","196357","438945","291378","97275","18403","20","0","94837","0","5591","158815","-10030"
"913","14033","1199611","210434","1","The Northern Trust Company","Chicago","IL","3/31/2011","SM","1","79561284","209779","5826181","3191497","1199546","0","3563","1155561","4331279","850418","20239832","15466652","8626515","179185","3916018","251031","3015780","1187794","194236","7820","0","23116586","13079","10000","136283","112771"
"916","0","3232688","215130","0","The National Republic Bank of Chicago","Chicago","IL","3/31/2011","N","1","1309751","27375","0","0","27000","0","6695","18806","97223","0","155373","1086577","1691","14036","59574","804052","277347","914","13816","0","0","1765","0","0","18292","8875"
"953","11653","1201671","811046","1","Bankers Trust Company","Des Moines","IA","3/31/2011","NM","1","2522952","3500","221398","325323","0","6000","38903","74276","100931","0","452742","1771061","869260","46519","388932","250599","172448","29593","73789","0","0","498400","0","875","21393","4269"
"958","9909","1205183","738040","0","United Bank of Iowa","Ida Grove","IA","3/31/2011","NM","1","1131237","0","28459","118300","0","0","200","32491","74850","11763","45071","909678","57091","196642","67477","328983","220938","0","15023","0","0","178224","0","159","10908","4874"
"983","0","1199844","60143","1","Comerica Bank","Dallas","TX","3/31/2011","SM","1","55052650","0","65505","3563498","1924261","0","58527","1924326","3990705","0","7383012","39200540","29537697","1326711","4556514","2273446","3355865","1281195","874983","621617","0","18064376","138257","71974","996584","110793"
"986","13569","1205688","222147","1","Citizens Bank","Flint","MI","3/31/2011","SM","1","9470059","0","155247","712666","0","0","12498","1023233","-291277","547449","2114073","5742320","2628496","2024987","449074","1898328","752637","363848","12926","0","0","520547","0","660","150875","-67833"
"1003","0","1201934","542649","0","Chemical Bank","Midland","MI","3/31/2011","SM","1","5326869","0","291599","72854","0","0","5900","273963","271215","163890","585992","3686549","2012887","474901","318570","1061509","514650","144563","78522","0","0","489984","0","2244","106424","9705"
"1005","10541","1401118","74140","0","Isabella Bank","Mount Pleasant","MI","3/31/2011","SM","1","1205747","0","60920","122343","0","0","6831","55794","33067","0","360032","739889","100685","310872","52482","250514","210276","24515","10633","0","0","85710","4711","761","4955","2757"
"1020","0","3594612","983448","1","M&I Marshall and Ilsley Bank","Milwaukee","WI","3/31/2011","SM","1","48006244","58993","204706","3019865","1411731","0","30600","7142864","-1558660","65504","6062305","34263310","25068288","1052169","1964106","6502102","1881797","1422867","251301","40987","0","10040851","38629","1763","1532490","-131556"
"1039","9892","2066868","219343","0","The Bank of Edwardsville","Edwardsville","IL","3/31/2011","NM","1","1447759","0","81201","30000","0","0","5400","16740","107199","3000","594512","704470","191169","414631","201618","211296","178903","62498","17744","10818","0","109705","0","3032","13374","2451"
"1040","15512","1491351","773247","0","Midland States Bank","Effingham","IL","3/31/2011","SM","1","1587039","4970","62454","71198","0","0","400","95336","38479","0","360377","1024517","310809","375667","89154","395748","138563","11088","34635","0","0","129607","0","22719","25493","3688"
"1058","0","1094556","657459","0","Midwest BankCentre","Lemay","MO","3/31/2011","SM","1","1082940","0","104869","68000","0","0","12886","5477","95036","0","288986","662829","388594","48318","53072","195374","86915","43673","34414","0","0","74320","0","6532","8847","1206"
"1105","11071","1123670","659855","0","First Interstate Bank","Billings","MT","3/31/2011","SM","1","7399028","3108","665229","8104","15000","0","50000","395223","299247","146582","1841281","4261510","2539563","1124491","530482","744982","991982","114759","144130","2287","0","492677","8611","4140","212394","11712"
"1225","0","3649950","871769","0","Farmers and Merchants Bank of Long Beach","Long Beach","CA","3/31/2011","SM","1","4398606","0","676870","0","0","0","2619","12044","620881","1448197","534594","2078316","1465881","469047","188995","265638","681392","69112","26482","0","0","206559","0","7733","79013","15342"
"1265","11548","3327025","574976","0","Cashmere Valley Bank","Cashmere","WA","3/31/2011","NM","1","1122625","11052","5927","5207","0","0","0","0","99735","1958","476333","576026","178247","411864","59084","203989","151948","26389","7898","7695","0","52766","0","18","9834","3008"
"1281","10107","1029464","58971","0","Washington Trust Bank","Spokane","WA","3/31/2011","NM","1","3831097","0","164272","7000","0","0","7535","144164","280286","0","997345","2653662","1994427","135465","256436","362597","447963","163807","137151","17207","0","712855","985","1248","77926","4263"
"1331","13589","2781910","808260","0","Farmers & Merchants Bank of Central California","Lodi","CA","3/31/2011","NM","1","1861051","0","60000","576","0","0","1","43582","145170","65315","461104","1167616","710328","143358","165921","168601","390769","41702","10478","0","0","285660","0","0","3614","6361"
"1399","11453","1128358","751656","1","Frandsen Bank & Trust","Lonsdale","MN","3/31/2011","NM","1","1130581","962","17889","10841","0","0","290","134140","11162","0","288243","693892","231250","395187","36843","216516","70998","31459","15250","0","0","106356","95","1286","19777","2135"
"1414","0","1123915","303550","0","KleinBank","Big Lake","MN","3/31/2011","NM","1","1457244","11979","20389","30158","0","0","200","115306","34196","0","446885","849027","681624","89428","50259","280246","134565","81635","15424","0","0","118787","0","562","30207","1087"
"1479","9404","1140659","126254","0","First State Bank","Union City","TN","3/31/2011","NM","1","1556504","30585","10403","66276","0","125","231","85150","57728","322","430264","981711","443371","137790","142223","302665","303269","30210","18823","0","0","74930","0","0","11915","2844"
"1528","12867","1248939","852544","0","Southern Bancorp Bank","Arkadelphia","AR","3/31/2011","SM","1","1088264","0","31586","21253","0","0","0","90523","22971","0","273660","617539","69822","56122","337745","193594","258420","3361","24941","0","0","88666","0","22","12922","2741"
"1536","16038","1399765","479268","0","Bank of Stockton","Stockton","CA","3/31/2011","NM","1","1909005","0","4247","5297","0","0","1454","89000","126805","5272","562610","1064557","782039","195777","209535","163211","273055","38480","13996","3696","0","295559","0","743","17059","2270"
"1768","12587","0","936462","0","Mechanics Bank","Richmond","CA","3/31/2011","NM","1","2813579","0","58720","12739","0","0","969","13250","273788","43586","767989","1763296","1372088","205471","100694","313176","388448","131252","23536","7952","0","217261","0","3546","40334","3808"
"2270","8926","1027004","276579","1","Zions First National Bank","Salt Lake City","UT","3/31/2011","N","1","16041897","83329","613503","102","0","480000","15000","721749","518929","503677","1016440","12867390","4376906","5617879","1209669","373950","387419","1120110","311947","24035","0","1581695","3230","5342","456958","36538"
"2345","9271","1029893","593865","1","West Coast Bank","Lake Oswego","OR","3/31/2011","NM","1","2446906","1966","0","168599","0","0","900","241518","72214","0","640636","1537114","1171820","109478","416093","157614","85953","154665","27447","0","0","382362","0","0","53943","5348"
