"Note: To obtain data definitions for variables that are included in this file, please select the following "
"         from within the FDIC's Statistics on Depository Institutions (SDI): "

"1. SDI Map, Definitions, and Data Download (top menu bar) "
"2. SDI Map, Definitions (radio button) "
"3. View or print any and all data definitions contained within SDI"


"CERT","DOCKET","RSSDHCR","FED_RSSD","HCTMULT","NAME","CITY","STALP","REPDTE","BKCLASS","INSTCNT","ASSET","FREPO","FREPP","IDOBRMTG","SUBND","EQPP","EQCS","EQSUR","EQUPTOT","SCHA","SCAF","LNLSGR","NTRSMMDA","NTRSOTH","TRN","NTRCDSM","NTRTMLG","UCLOC","UCCOMRES","UCCOMREU","UCSC","UCOTHER","LOCCOM","P9ASSET","NAASSET","NETINC"
"14","14278","1111435","35301","1","State Street Bank and Trust Company","Boston","MA","3/31/2004","SM","1","82198318","4959262","15125230","463875","405833","0","29931","949682","5178637","1609030","32765522","5660123","587381","1260","1762828","632","13909963","0","0","0","0","29433075","0","0","6710","206795"
"110","9592","1097089","107244","0","Bank of the Ozarks","Little Rock","AR","3/31/2004","NM","1","1421106","0","41767","80223","0","0","58","54089","66807","0","354594","951037","50269","392762","112500","232436","384271","4357","148195","0","0","20762","0","0","3405","6484"
"131","0","1085013","34537","0","First National Bank and Trust Company of the Treasure Coast","Stuart","FL","3/31/2004","N","1","1401358","27500","87256","40392","0","0","19500","15300","66706","97705","436966","744818","412668","162097","226286","259948","103982","22766","40003","0","0","149136","0","264","412","3704"
"258","9364","1249730","317342","0","Stock Yards Bank & Trust Company","Louisville","KY","3/31/2004","NM","1","1129293","12194","70337","30409","180","0","4120","19125","92788","5580","149846","899711","366846","47221","173936","212992","89226","60947","34966","0","0","101135","2715","333","4275","4805"
"413","15333","1050600","360852","1","Gold  BANK","Hennessey","OK","3/31/2004","SM","1","1107960","94728","112822","116522","0","0","650","53051","37506","44267","315632","584851","205659","39173","39798","353192","146090","477","47497","786","0","81814","0","497","7432","3452"
"441","9304","3005332","281416","1","SunBank","Selinsgrove","PA","3/31/2004","NM","1","1044117","0","21762","245925","0","0","1050","70059","44592","0","200395","684359","34472","252060","65596","223726","73659","21735","12043","0","0","106668","0","398","4201","1841"
"588","11394","1242601","501105","1","Manufacturers and Traders Trust Company","Buffalo","NY","3/31/2004","SM","1","50218278","90575","4879897","3666580","1214148","0","120635","4356629","1897906","106986","7070625","36211867","14447916","3468227","6072990","4180849","2375165","3806077","1988741","0","0","6883325","70911","143472","245900","163338"
"589","14588","1857108","413208","1","HSBC Bank USA","Buffalo","NY","3/31/2004","SM","1","99867085","3834379","403818","4037009","2533298","0","205000","6928952","1172960","4516506","12610486","52191701","6146738","21082411","6995922","5108220","6348064","2025668","1064502","286845","0","32236097","927813","22970","322777","327094"
"609","10202","2367921","433608","1","Tompkins Trust Company","Ithaca","NY","3/31/2004","NM","1","1088954","7900","237169","61100","0","0","5400","35593","41518","44709","408833","522735","365882","2287","151892","114718","57364","22831","35600","0","0","28178","0","27","3682","3767"
"622","9297","2327475","661308","0","Amalgamated Bank","New York","NY","3/31/2004","NM","1","3635739","0","1241999","226587","0","0","6222","70299","122481","115824","1884356","1456852","872537","392574","192968","337047","94230","0","41800","0","0","80700","0","8","8508","2256"
"623","0","1242423","214807","1","Deutsche Bank Trust Company Americas","New York","NY","3/31/2004","SM","1","33981000","7626000","6394000","93000","9000","1500000","2127000","584000","3021000","0","57000","7318000","4540000","22000","3286000","228000","317000","0","60000","1427000","0","4552000","26000","0","622000","-23000"
"628","0","1039502","852218","1","JPMorgan Chase Bank","New York City","NY","3/31/2004","SM","1","648692000","105143000","109121000","20692000","8039000","0","1785000","16318000","20065000","156000","64028000","182886000","84586000","37966000","31321000","5824000","50514000","11473000","1278000","2999000","0","162471000","4622000","82000","2929000","1259000"
"639","0","1033470","541101","1","The Bank of New York","New York City","NY","3/31/2004","SM","1","89477590","1725055","1114706","4930827","2390000","0","1135284","2080657","5155798","1382393","21582893","37440265","12273391","6480765","13274591","638872","7322127","1713267","258900","468347","0","33967636","1093620","19561","341922","292601"
"679","0","1069778","83311","1","PNC Bank, Delaware","Wilmington","DE","3/31/2004","NM","1","2421262","0","100318","186","50000","0","500","50726","144681","0","981999","1229085","1077033","168150","430386","327673","47145","186570","62842","9309","0","154035","0","1201","3627","13829"
"680","11652","1888193","272218","1","Wilmington Trust Company","Wilmington","DE","3/31/2004","NM","1","8367602","499366","270421","596427","0","0","500","112358","555373","3355","1624384","5839156","2120318","376092","1098412","732321","2389010","240211","748520","0","0","1073269","2646","5847","36559","31092"
"744","11424","1070617","612618","0","The Provident Bank","Cincinnati","OH","3/31/2004","SM","1","16713948","167069","1507523","3030591","249500","0","50000","369504","607930","199889","4042609","9192027","2616368","265354","1341620","1779891","4206657","3287041","309133","1484891","0","87152","2530","9191","76935","29619"
"803","0","1070448","645625","0","Wesbanco Bank, Inc.","Wheeling","WV","3/31/2004","SM","1","3363897","13000","155639","361483","0","0","7820","39000","296601","391408","720325","1950181","1050227","309761","172614","695632","234148","98361","46890","0","0","196115","0","5039","9156","10310"
"849","9688","1079441","817833","0","SouthTrust Bank","Birmingham","AL","3/31/2004","SM","1","52666923","151567","4993288","5651133","858570","0","9007","2214559","2207706","222613","10824577","36576620","12207746","2468135","5699929","7019425","5880705","2636554","4657609","60408","0","5577292","43356","67726","173668","177714"
"867","0","1131787","675332","1","SunTrust Bank","Atlanta","GA","3/31/2004","SM","1","124303619","4347345","13854238","11931227","2149348","0","21600","3245229","6932195","0","23533904","85054966","43339393","6664581","12531623","6883934","6955736","8351701","2814973","902772","0","45547097","178399","171325","282394","362192"
"873","14036","1078846","395238","1","Columbus Bank and Trust Company","Columbus","GA","3/31/2004","NM","1","4741164","911504","1156443","156563","0","0","3154","125302","712678","0","344573","2227075","626545","434942","382674","114431","578145","0","240227","1000","0","153977","8439","5224","11267","40647"
"895","10867","1133277","488439","0","Greene County Bank","Greeneville","TN","3/31/2004","NM","1","1129449","2749","16597","51946","0","0","1290","38639","74526","4883","29200","988258","278255","62828","118662","341454","138502","43722","95087","0","0","63952","0","650","4512","2906"
"906","0","1231333","75633","1","Harris Trust and Savings Bank","Chicago","IL","3/31/2004","SM","1","21336907","499744","4081921","531846","225000","5000","100000","637934","875238","0","7081723","10307107","4084601","1675201","2857282","1041430","3181837","974118","299540","15137","32808","6850798","39010","17793","159034","34798"
"913","14033","1199611","210434","1","The Northern Trust Company","Chicago","IL","3/31/2004","SM","1","32233741","877787","2674947","2333969","850000","0","3563","455560","1679243","911503","6991346","9959991","4641980","160763","1534785","361394","1254968","825513","29178","137981","17492","14474983","15757","9525","64377","89925"
"953","11653","1201671","811046","1","Bankers Trust Company, National Association","Des Moines","IA","3/31/2004","N","1","1583840","44810","140006","312896","0","6000","31908","31908","40368","0","385848","1031281","565432","30632","161708","147091","93664","26269","46640","0","0","245348","579","709","527","3748"
"983","0","1199844","60143","1","Comerica Bank","Detroit","MI","3/31/2004","SM","1","54475476","5500564","235314","2131750","1590618","320000","58527","1567255","3665377","0","4603301","40194228","30840905","1607489","3957161","2957273","3316463","1793667","2732509","0","0","18448397","253590","35442","489095","172647"
"986","13569","1205688","222147","1","Citizens Bank","Flint","MI","3/31/2004","SM","1","5476268","9000","540291","594362","0","0","12498","242067","239433","20425","1249655","3845358","1477679","684643","399590","782590","452106","265032","73130","0","0","968749","191086","29","28865","14660"
"993","13249","1070345","913940","1","Fifth Third Bank","Grand Rapids","MI","3/31/2004","SM","1","36330122","819528","1558981","3106143","182408","0","16379","2030949","1637603","43700","7351351","26029076","14263227","6523761","1952303","3715993","1068287","2789351","971331","0","0","6693446","14355","62403","129634","111135"
"1003","0","1201934","542649","1","Chemical Bank and Trust Company","Midland","MI","3/31/2004","SM","1","1655323","34800","69820","60133","0","0","5900","36120","140911","107843","456481","959682","602814","198216","195091","270393","65625","31117","40982","80","0","96779","0","826","780","7146"
"1020","0","1199497","983448","1","M&I Marshall and Ilsley Bank","Milwaukee","WI","3/31/2004","SM","1","31020713","125227","2643058","3189677","621775","0","30600","1774633","615498","789540","4402268","23360353","10332005","1038459","1121366","2196317","4548091","1258836","762950","19063","0","7915419","67654","1041","126795","113764"
"1039","9892","2066868","219343","0","The Bank of Edwardsville","Edwardsville","IL","3/31/2004","NM","1","1018769","0","48920","5000","0","0","5400","16740","73999","78","358213","551929","326768","38925","257822","162195","77950","19301","47530","3224","0","60779","0","1427","3886","2488"
"1078","10484","1426812","419152","0","Allegiant Bank","Saint Louis","MO","3/31/2004","NM","1","2469974","0","66361","307373","0","0","734","187733","90271","8135","330541","1906618","704073","169707","119344","582196","236504","41269","87580","0","0","328793","0","4855","27453","4064"
"1081","10680","1199497","543253","1","Southwest Bank of St. Louis","Saint Louis","MO","3/31/2004","SM","1","2354021","100","191607","159707","0","0","2129","460631","8711","0","441173","1502075","958753","73488","28548","344386","92592","37268","95953","75","0","511306","523","92","14342","1376"
"1105","11071","1123670","659855","0","First Interstate Bank","Billings","MT","3/31/2004","SM","1","3863024","58140","336994","34637","0","0","50000","147434","135677","95837","710590","2568269","1133048","590652","396251","630494","387681","39722","145260","300056","0","75257","14277","2047","25765","10391"
"1225","0","0","871769","0","Farmers and Merchants Bank of Long Beach","Long Beach","CA","3/31/2004","SM","1","2813715","120000","308916","0","0","0","3156","5835","553653","992848","410526","1155626","890153","611435","152535","129136","146053","7440","27052","0","0","204800","0","3735","2879","12855"
"1281","10107","1029464","58971","0","Washington Trust Bank","Spokane","WA","3/31/2004","NM","1","2259535","14000","62482","25325","0","0","7535","32665","187095","0","320693","1793460","950617","114708","263976","273817","320067","91017","85322","11639","0","597639","222","362","16580","6060"
"1331","13589","2781910","808260","0","Farmers & Merchants Bank of Central California","Lodi","CA","3/31/2004","SM","1","1119186","2900","0","80918","0","0","1","43582","74983","35982","201066","796779","339344","158649","95238","150290","166056","93325","70190","530","0","249405","0","52","2528","4069"
